row	method	path	input	expected	status	content-type	allow	body
R01a	POST	/api/login	username number	400 invalid_username	400	application/json; charset=utf-8		{"error":"invalid_username","message":"username must be text."}
R01b	POST	/api/login	username array	400 invalid_username	400	application/json; charset=utf-8		{"error":"invalid_username","message":"username must be text."}
R01c	POST	/api/login	username object	400 invalid_username	400	application/json; charset=utf-8		{"error":"invalid_username","message":"username must be text."}
R01d	POST	/api/login	password number	400 invalid_password	400	application/json; charset=utf-8		{"error":"invalid_password","message":"password must be text."}
R02a	POST	/api/login	malformed JSON	400 invalid_json	400	application/json; charset=utf-8		{"error":"invalid_json","message":"The request body is not valid JSON."}
R02b	POST	/api/bugs	malformed JSON	400 invalid_json	400	application/json; charset=utf-8		{"error":"invalid_json","message":"The request body is not valid JSON."}
R02d	POST	/api/login	body null	400 invalid_json	400	application/json; charset=utf-8		{"error":"invalid_json","message":"The request body is not valid JSON."}
R02e	POST	/api/bugs	body "x" (non-object JSON)	400 invalid_json	400	application/json; charset=utf-8		{"error":"invalid_json","message":"The request body is not valid JSON."}
R02f	POST	/api/bugs	200 KB body	413 payload_too_large	413	application/json; charset=utf-8		{"error":"payload_too_large","message":"The request body is too large."}
R02g	POST	/api/bugs	charset=latin1	415 unsupported_media_type	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send UTF-8 JSON without compression."}
R02h	POST	/api/bugs	Content-Encoding br	415 unsupported_media_type	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send UTF-8 JSON without compression."}
R02i	POST	/api/bugs	Content-Encoding gzip, plain body	400 JSON	400	application/json; charset=utf-8		{"error":"bad_request","message":"The request could not be read."}
R03a	GET	/api/bugs/6967abc	id <id>abc	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03b	GET	/api/bugs/6967.9	id decimal	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03c	GET	/api/bugs/%206967	id leading space	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03d	GET	/api/bugs/-1	negative id	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03e	GET	/api/bugs/0x1	hex id	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03f	GET	/api/bugs/0	zero id	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03g	PUT	/api/bugs/6967abc	PUT <id>abc	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03h	PUT	/api/bugs/6967.5	PUT <id>.5	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03i	PUT	/api/bugs/6967e5	PUT <id>e5	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03j	DELETE	/api/bugs/6967abc	DELETE <id>abc	400 invalid_id	400	application/json; charset=utf-8		{"error":"invalid_id","message":"Bug ID must be a positive whole number."}
R03v	GET	/api/bugs/6967	verify target untouched	200 title "R03 target", state OPEN	200	application/json; charset=utf-8		{"id":6967,"title":"[contract] R03 target 24312","severity":"LOW","owner":"buggy","description":"probe","state":"OPEN"}
R04a	GET	/api/nope	unknown path	404 JSON not_found	404	application/json; charset=utf-8		{"error":"not_found","message":"No such API route."}
R04b	POST	/api/health	wrong method	405 Allow: GET	405	application/json; charset=utf-8	GET	{"error":"method_not_allowed","message":"Use GET for /api/health."}
R04c	PATCH	/api/bugs/6967	PATCH	405 Allow: GET, PUT, DELETE	405	application/json; charset=utf-8	GET, PUT, DELETE	{"error":"method_not_allowed","message":"Use GET, PUT, DELETE for /api/bugs/:id."}
R04d	PUT	/api/bugs	PUT collection	405 Allow: GET, POST	405	application/json; charset=utf-8	GET, POST	{"error":"method_not_allowed","message":"Use GET, POST for /api/bugs."}
R04e	DELETE	/api/bugs	DELETE collection	405 Allow: GET, POST	405	application/json; charset=utf-8	GET, POST	{"error":"method_not_allowed","message":"Use GET, POST for /api/bugs."}
R04f	GET	/api/login	GET login	405 Allow: POST	405	application/json; charset=utf-8	POST	{"error":"method_not_allowed","message":"Use POST for /api/login."}
R04g	DELETE	/api/health	DELETE health	405 Allow: GET	405	application/json; charset=utf-8	GET	{"error":"method_not_allowed","message":"Use GET for /api/health."}
R04h	GET	/api/bugs/6967/extra	extra segment	404 JSON	404	application/json; charset=utf-8		{"error":"not_found","message":"No such API route."}
R04i	HEAD	/api/nope	HEAD unknown	404 JSON	404	application/json; charset=utf-8		
R05a	POST	/api/bugs	severity critical	400 invalid_severity	400	application/json; charset=utf-8		{"error":"invalid_severity","message":"Severity must be high, mid, or low."}
R05b	POST	/api/bugs	title number	400 invalid_title	400	application/json; charset=utf-8		{"error":"invalid_title","message":"title must be text."}
R05c	POST	/api/bugs	severity missing	400 blank_severity	400	application/json; charset=utf-8		{"error":"blank_severity","message":"Severity is required (high, mid, or low)."}
R05d	POST	/api/bugs	severity blank	400 blank_severity	400	application/json; charset=utf-8		{"error":"blank_severity","message":"Severity is required (high, mid, or low)."}
R05e	POST	/api/bugs	severity whitespace	400 blank_severity	400	application/json; charset=utf-8		{"error":"blank_severity","message":"Severity is required (high, mid, or low)."}
R06a	POST	/api/login	valid JSON, no Content-Type	415	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send the request body as application/json."}
R06b	POST	/api/bugs	valid JSON, text/plain	415	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send the request body as application/json."}
R06c	PUT	/api/bugs/6967	PUT, no Content-Type	415	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send the request body as application/json."}
R06d	POST	/api/bugs	form-urlencoded	415	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send the request body as application/json."}
R06e	POST	/api/bugs	multipart	415	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send the request body as application/json."}
R06f	POST	/api/bugs	vnd.api+json	415	415	application/json; charset=utf-8		{"error":"unsupported_media_type","message":"Send the request body as application/json."}
R07	POST	/api/login	whitespace-only password (throwaway user)	400 blank_password? (open decision)	401	application/json; charset=utf-8		{"error":"invalid_credentials","message":"Invalid username or password."}
